datetime_utc,B06,B09,B15,B17,B20,biomass,gas,hard_coal,hydro_pumped,hydro_reservoir,hydro_ror,solar,wind_onshore
2025-02-02 20:00:00+00:00,0.0,0.07,0.0,100.0,22.0,264.0,1599.2,0.0,526.8,380.4,2366.0,0.0,336.0
2025-02-02 20:15:00+00:00,,,,,,268.0,1594.0,,497.2,253.2,2347.6,,364.0
2025-02-02 20:30:00+00:00,,,,,,,1595.6,,459.6,239.2,2338.8,,360.0
2025-02-02 20:45:00+00:00,,,,,,,1593.2,,458.0,228.0,2302.8,,384.0
2025-02-02 21:00:00+00:00,,,,,,260.0,1596.0,,391.6,217.6,2294.0,,396.0
2025-02-02 21:15:00+00:00,,,,,,264.0,1589.2,,346.8,202.8,2274.8,,420.0
2025-02-02 21:30:00+00:00,,,,,,,1593.6,,304.0,228.0,2276.0,,404.0
2025-02-02 21:45:00+00:00,,,,,,,1598.4,,271.2,202.4,2272.4,,400.0
2025-02-02 22:00:00+00:00,,,,,,,1605.2,,320.0,232.8,2247.6,,368.0
2025-02-02 22:15:00+00:00,,,,,,,1576.8,,260.8,192.4,2229.2,,328.0
2025-02-02 22:30:00+00:00,,,,,,,1575.2,,258.0,220.0,2229.6,,324.0
2025-02-02 22:45:00+00:00,,,,,,,1576.8,,219.2,181.6,2224.0,,332.0
